rank,lambda_fair,n_layers,units,dropout,lr,val_auc,val_pearson_sq,val_cka_rbf
0,1.0,2,128,0.2,0.0033137745378583987,0.7307597081714432,0.002365732372912513,0.0031624564402686576
1,1.0,2,128,0.30000000000000004,0.0013638404825740366,0.7303196153169024,0.0024619635873577277,0.0034806731155666523
2,1.0,1,128,0.0,0.009726251164538662,0.7301909760015703,0.003220406630509249,0.00424764275684563
3,1.0,2,128,0.2,0.0033137745378583987,0.7295895691116197,0.0027567688783430434,0.0036003888896372687
4,1.0,1,128,0.0,0.0049406530672152634,0.7297010277585496,0.0027605761361708704,0.0038486050822170463
5,1.0,3,128,0.1,0.0014513514342725856,0.7294588368329573,0.0025395402596962323,0.0033866570926859877
6,1.0,2,128,0.1,0.0005958165881034709,0.7287130405219744,0.0020204274560467316,0.0028237155866584077
7,1.0,3,32,0.0,0.008881172270305323,0.7292683771698938,0.0023458763655046376,0.003101723210518047
8,1.0,3,32,0.0,0.008881172270305323,0.7300527624922802,0.0034306734900874003,0.004366965640681372
9,1.0,3,128,0.1,0.0014513514342725856,0.7289029017979156,0.002454742821861889,0.003291221454666212
